Season,Spearman_Correlation,Kendall_Tau,MAE,Perfect_Matches,Total_Teams
2003-04,0.5441176470588236,0.39999999999999997,3.375,4,16
2004-05,0.6294117647058822,0.45,3.375,1,16
2005-06,0.28529411764705886,0.26666666666666666,4.0,2,16
2006-07,0.2088235294117647,0.16666666666666669,4.875,2,16
2007-08,0.0,0.0,5.375,1,16
2008-09,0.2441176470588235,0.19999999999999998,4.625,2,16
2009-10,0.16764705882352943,0.13333333333333333,5.25,1,16
2010-11,-0.2647058823529412,-0.16666666666666669,6.125,0,16
2011-12,-0.31176470588235294,-0.16666666666666669,6.5,0,16
2012-13,0.27058823529411763,0.16666666666666669,4.625,0,16
2013-14,-0.29705882352941176,-0.18333333333333335,6.25,1,16
2014-15,0.30882352941176466,0.25,4.125,3,16
2015-16,0.3205882352941176,0.26666666666666666,3.875,1,16
2016-17,-0.39999999999999997,-0.3,6.5,2,16
2017-18,0.24705882352941175,0.13333333333333333,4.625,1,16
2018-19,-0.09705882352941177,-0.06666666666666667,5.75,1,16
2019-20,-0.0411764705882353,-0.016666666666666666,5.25,0,16
2020-21,-0.055882352941176466,0.016666666666666666,5.75,0,16
2021-22,0.023529411764705882,0.06666666666666667,5.25,1,16
2022-23,-0.02058823529411765,0.03333333333333333,5.625,2,16
2023-24,0.09117647058823529,0.06666666666666667,5.125,1,16
